==Frequent itemsets (min_sup=1.0%)==
('2006', 'female')	 supp: 11.05%
('2005', 'female')	 supp: 10.69%
('2006', 'male')	 supp: 9.06%
('2005', 'male')	 supp: 8.9%
('2004', 'female')	 supp: 8.1%
('2003', 'female')	 supp: 7.46%
('2004', 'male')	 supp: 6.7%
('2002', 'female')	 supp: 6.08%
('2001', 'female')	 supp: 6.04%
('2003', 'male')	 supp: 5.89%
('2007', 'female')	 supp: 5.48%
('2002', 'male')	 supp: 5.11%
('2001', 'male')	 supp: 4.84%
('2007', 'male')	 supp: 4.58%
('29185', 'female')	 supp: 2.77%
('22387', '29185')	 supp: 2.77%
('22387', 'female')	 supp: 2.77%
('2006', '29185')	 supp: 2.77%
('2006', '22387')	 supp: 2.77%
('29514', 'female')	 supp: 2.77%
('22491', 'female')	 supp: 2.77%
('22491', '29514')	 supp: 2.77%
('2006', '29514')	 supp: 2.77%
('2006', '22491')	 supp: 2.77%
('2006', '29185', 'female')	 supp: 2.77%
('22387', '29185', 'female')	 supp: 2.77%
('2006', '22387', '29185')	 supp: 2.77%
('2006', '22387', 'female')	 supp: 2.77%
('2006', '22491', '29514')	 supp: 2.77%
('2006', '22491', 'female')	 supp: 2.77%
('22491', '29514', 'female')	 supp: 2.77%
('2006', '29514', 'female')	 supp: 2.77%
('2006', '22387', '29185', 'female')	 supp: 2.77%
('2006', '22491', '29514', 'female')	 supp: 2.77%
('27409', 'female')	 supp: 2.76%
('21614', '27409')	 supp: 2.76%
('21614', 'female')	 supp: 2.76%
('2006', '27409')	 supp: 2.76%
('2006', '21614')	 supp: 2.76%
('2006', '27409', 'female')	 supp: 2.76%
('21614', '27409', 'female')	 supp: 2.76%
('2006', '21614', '27409')	 supp: 2.76%
('2006', '21614', 'female')	 supp: 2.76%
('2006', '21614', '27409', 'female')	 supp: 2.76%
('27603', 'female')	 supp: 2.75%
('2007', '27603')	 supp: 2.75%
('2007', '23580')	 supp: 2.75%
('23580', '27603')	 supp: 2.75%
('23580', 'female')	 supp: 2.75%
('23580', '27603', 'female')	 supp: 2.75%
('2007', '27603', 'female')	 supp: 2.75%
